symbol	GSM2805414_Ad-LacZ.CEL
ACOX3	7.7565807603364
ACOXL	3.65701189403113
ACP1	9.17410278213324
ACP2	8.311713027347
ACP5	4.98860652264438
ACP6	4.77791250899368
ACPP	2.80751536351294
ACPT	6.2619487465567
ACR	4.94257148167468
ACRBP	4.3253588596564
ACRC	4.57548750294698
ACRV1	3.73217957007425
ACSBG1	3.86080835613537
ACSBG2	3.97131775791213
ACSF2	7.31054214990731
ACSF3	4.74312457005934
ACSL1	7.34875475240521
ACSL3	8.64653073105307
ACSL4	3.74173351593308
ACSL5	6.60352962184798
ACSL6	2.80751536351294
ACSM1	3.22957343688734
ACSM2A	3.05974126244687
ACSM2B	3.66338070308954
ACSM3	3.03357539067548
ACSM5	4.63321174135031
ACSS1	4.98860652264438
ACSS2	6.64013252566576
ACSS3	3.42063764374299
ACTA1	4.18886321578016
ACTA2	3.26732057569154
ACTA2-AS1	4.689072800347
ACTB	13.4724042804936
ACTBP9	8.39121019360923
ACTC1	6.16475064620877
ACTG1	13.5797569562673
ACTG1P4	4.715622187058
ACTG2	4.63228015164699
ACTL10	5.07659632050245
ACTL6A	8.32976148926464
ACTL6B	4.42040745377778
ACTL7A	5.80069876480059
ACTL7B	3.50518532530405
ACTL8	5.03325790723623
ACTL9	3.66338070308954
ACTN1	10.3364893420034
ACTN2	3.31171880034241
ACTN3	5.19939444352561
ACTN4	10.1708542236247
ACTR10	11.1174757261194
ACTR1A	9.46858081989229
ACTR1B	8.10193486048598
ACTR2	8.84468137591609
ACTR3	11.7063847372057
ACTR3B	6.34306161913271
ACTR3BP2	4.45429613657919
ACTR3BP5	4.08487027194873
ACTR3C	3.26732057569154
ACTR3P2	3.03337894032123
ACTR5	6.03316158109923
ACTR6	5.62443613179791
ACTR8	6.67043632559978
ACTRT2	3.66338070308954
ACTRT3	5.99417754353048
ACVR1	9.75111257197562
ACVR1B	4.61842498241102
ACVR1C	3.49982458977458
ACVR2A	6.81004760132106
