probe_id	GSM2805414_Ad-LacZ.CEL
1552489_s_at	2.88170408475174
1552490_at	2.95702656720714
1552491_at	4.18886321578016
1552493_s_at	3.58446016061881
1552494_at	4.25802935653126
1552496_a_at	2.88170408475174
1552497_a_at	5.23812423899609
1552498_at	3.58446016061881
1552499_a_at	4.04538510778212
1552501_a_at	5.9006791386137
1552502_s_at	2.95702656720714
1552503_at	5.07659632050245
1552504_a_at	4.79542979977343
1552506_at	3.74173351593308
1552507_at	4.04538510778212
1552508_at	3.81930779870933
1552509_a_at	2.95702656720714
1552510_at	8.66085956771123
1552511_a_at	2.20053923674618
1552514_at	2.88170408475174
1552515_at	3.58446016061881
1552516_a_at	4.84605736296546
1552518_s_at	2.73454767877389
1552519_at	4.11794509479741
1552520_at	3.11064025994831
1552521_a_at	2.3900334125817
1552522_at	2.1402587154349
1552523_a_at	2.52361271094291
1552524_at	6.69685944974102
1552526_at	4.11794509479741
1552528_at	6.22385166618304
1552531_a_at	4.11794509479741
1552532_a_at	2.2622545976128
1552535_at	5.31260674907596
1552536_at	3.81930779870933
1552538_a_at	4.04538510778212
1552540_s_at	4.45429613657919
1552541_at	7.86258918267846
1552542_s_at	3.74173351593308
1552543_a_at	4.45429613657919
1552544_at	3.03337894032123
1552546_a_at	4.3253588596564
1552548_at	3.50518532530405
1552549_a_at	4.79542979977343
1552552_s_at	2.95702656720714
1552553_a_at	2.66287249773403
1552554_a_at	2.32541726541788
1552555_at	5.60710032628528
1552557_a_at	2.2622545976128
1552558_a_at	5.5154549349024
1552559_a_at	3.42576793345345
1552562_at	3.89589989630613
1552563_a_at	2.52361271094291
1552564_at	2.59254649341595
1552566_at	3.66338070308954
1552568_at	5.19939444352561
1552569_a_at	5.03325790723623
1552570_at	4.3253588596564
1552572_a_at	4.39079260185657
1552573_s_at	6.29906563020297
1552575_a_at	3.42576793345345
1552576_at	4.11794509479741
1552578_a_at	2.3900334125817
1552579_a_at	4.45429613657919
1552580_at	3.26732057569154
1552582_at	2.4561018218042
1552583_s_at	3.11064025994831
